# INFORMACIÓN DE PELÍCULAS OBTENIDA MANUALMENTE VÍA GEMINI
# ================================================================
#
# PROCESO MANUAL UTILIZADO:
# 1. Se tomó la lista de películas únicas del archivo "nombres_unicos_prioritarios.txt"
#    (ordenada de más falta de información a menor falta de información)
# 2. Se copió y pegó la lista completa en Google Gemini
# 3. Se solicitó a Gemini que completara la información faltante (DIRECTOR y ACTOR_PRINCIPAL)
#    para cada película en la medida de lo posible
#
# AUTOMATIZACIÓN FUTURA:
# Este proceso manual se puede automatizar en posteriores pasos mediante:
# - Integración con la API de Google Gemini
# - Uso de credenciales de cuenta individual de cada usuario
# - Implementación de consultas automáticas por lotes
# - Validación y limpieza automática de respuestas
#
# FORMATO ESPERADO:
# Cada línea debe seguir el formato:
# NOMBRE_UNICO|DIRECTOR|ACTOR_PRINCIPAL
#
# Ejemplo:
# ALIEN ROMULUS|Fede Álvarez|Cailee Spaeny; David Jonsson
# BEETLEJUICE BEETLEJUICE|Tim Burton|Michael Keaton; Winona Ryder
#
# NOTAS:
# - Si no se encuentra información, dejar el campo vacío después del |
# - Múltiples actores separados por punto y coma (;)
# - Múltiples directores separados por punto y coma (;)
# - Mantener los nombres únicos exactamente como aparecen en la lista original
#
# ================================================================
# INFORMACIÓN RECOLECTADA (COPIAR Y PEGAR AQUÍ):
# ================================================================
NOMBRE_UNICO,DIRECTOR,ACTOR_PRINCIPAL 
 AMB SIEMPRE SEREMOS JÓVENES: Gonzalo Perdomo, 

 AMB USUARIOS: Natalia Almada, 

 AMB ZOÉ PANORAMAS: Rodrigo Guardiola & Gabriel Cruz Rivas, 

 AMENAZA EN EL AIRE: Timo Vuorensola, 

 AMOR EN LA GRAN CIUDAD: Don Scardino, 

 AMOR ERIZO: Adrien Candiard, 

 AMORES COMPARTIDOS: Paloma Zapata, 

 AMORES INCOMPLETOS: Gilberto González Penilla, 

 AMORES MATERIALISTAS: Fernando Frías de la Parra, Thomasin McKenzie 

 ANIMALES PELIGROSOS: Dean Fleischer Camp, Jason Statham 

 ANORA: Sean Baker, Mikey Madison 

 APRENDIZ: Ali Abbasi, Sebastian Stan 

 ARRIERA: Isabel Cristina Fregoso, 

 ASESINO IMPLACABLE: Pierre Morel, Liam Neeson 

 ATRAPADO ROBANDO: James Foley, 

 ATREVIDA: Víctor Hugo Borges, 

 ATTACK ON TITAN EL ATAQUE FINAL: Yūichirō Hayashi, 

 AÑO DIFÍCIL: Éric Toledano & Olivier Nakache, Pio Marmaï 

 BAILARINA: Len Wiseman, Ana de Armas 

 BALADA DE LA ISLA: Eytan Fox, 

 BAMBI UNA AVENTURA EN EL BOSQUE: David Hand & James Algar, 

 BATMAN AZTECA CHOQUE DE IMPERIOS: Juan Meza-León, Horacio Garcia Rojas 

 BAÑO DEL DIABLO: Veronika Franz & Severin Fiala, Anja Plaschg 

 BLANCA NIEVES: Marc Webb, Rachel Zegler 

 BLANCA NIEVES BR: Marc Webb, Rachel Zegler 

 BLANCA NIEVES LED: Marc Webb, Rachel Zegler 

 BLINDADO SIN SALIDA: Eduardo Chow, 

 BOONIE BEARS VIAJE EN EL TIEMPO: Lin Huida, 

 BRIDGET JONES LOCA POR ÉL: Michael Morris, Renée Zellweger 

 CAPITÁN AMÉRICA UN NUEVO MUNDO FINA: Julius Onah, Anthony Mackie 

 CAPITÁN AMÉRICA UN NUEVO MUNDO LED: Julius Onah, Anthony Mackie 

 CATÁSTROFE EN LA NIEVE: Julian Gilbey, 

 CAZATESOROS: Jesse V. Johnson, Thomas Jane 

 CHICAS PESADAS 20 ANIVERSARIO: Samantha Jayne & Arturo Perez Jr., Angourie Rice 

 CLUB PERFECTO: Castille Landon, 

 COLINA DE LAS AMAPOLAS: Gorō Miyazaki, 

 COMPAÑERA PERFECTA: Zoë Kravitz, Naomi Ackie 

 CONDE DE MONTECRISTO: Matthieu Delaporte & Alexandre de La Patellière, Pierre Niney 

 CONFESIÓN DEL DIABLO: Pål Øie, 

 CONJURO: James Wan, Vera Farmiga 

 CONJURO 3 EL DIABLO ME OBLIGÓ: Michael Chaves, Patrick Wilson 

 CONJURO 4 ÚLTIMOS RITOS: Michael Chaves, Patrick Wilson 

 CONJURO DE LA BRUJA: Mark Atkins, 

 CONTADOR 2: Gavin O'Connor, Ben Affleck 

 CONTRATO PARA MATAR: James Cullen Bressack, 

 CORAZONES JÓVENES: Anthony Schatteman, 

 CORINA: Carla Estrada, Naian González Norvind 

 CRIATURA INFERNAL: Scott Slone, 

 CRIATURAS LÍNEA DE EXTINCIÓN: Giles Alderson, 

 CRUCIFIJO SANGRE DEL EXORCISTA: Chris Beyrooty, 

 CUADRO PERDIDO: Mariano Pozzi, 

 CÓDIGO NEGRO: Ric Roman Waugh, Gerard Butler 

 CÓDIGO TRAJE ROJO: , 

 CÓMO ENTRENAR A TU DRAGÓN: Dean DeBlois, Mason Thames 

 CÓMO ENTRENAR A TU DRAGÓN BR: Dean DeBlois, Mason Thames 

 CÓMO ENTRENAR A TU DRAGÓN SJ: Dean DeBlois, Mason Thames 

 CÓMO SER MILLONARIO ANTES QUE MUERA LA: Pat Boonnitipat, Putthipong Assaratanakul 

 CÓMO SER MILLONARIO ANTES QUE MUERA LA ABUELA: Pat Boonnitipat, Putthipong Assaratanakul 

 CÓNCLAVE: Edward Berger, Ralph Fiennes 

 CÓNCLAVE LED: Edward Berger, Ralph Fiennes 

 DALIA Y EL LIBRO ROJO: David Bisbano, 

 DAN DA DAN EVIL EYE: Fuga Yamashiro, 

 DEMON SLAYER CASTILLO INFINITO: Haruo Sotozaki, 

 DEMON SLAYER KIMETSU NO YAIBA: Haruo Sotozaki, 

 DEMON SLAYER KIMETSU NO YAIBA CASTILLO: Haruo Sotozaki, 

 DEMONIO EN EL COFRE: Lawrence Fowler, 

 DESASTRE EN EL ÁRTICO: Adam MacDonald, 

 DESPUÉS DEL APOCALIPSIS: Elias Matar, 

 DESTINO FINAL LAZOS DE SANGRE: Zach Lipovsky & Adam B. Stein, 

 DESTINO FINAL LAZOS DE SANGRE BR: Zach Lipovsky & Adam B. Stein, 

 DOGMAN: Luc Besson, Caleb Landry Jones 

 DOLOR REAL: Jesse Eisenberg, Jesse Eisenberg 

 DRAGON BALL DAIMA: Aya Komaki, 

 DREAMS SUEÑOS: Akira Kurosawa, Akira Terao 

 DROP AMENAZA ANÓNIMA: Christopher Landon, 

 DRÁCULA: Francis Ford Coppola, Gary Oldman 

 DUNA PARTE DOS: Denis Villeneuve, Timothée Chalamet 

 DÉJAME ESTAR CONTIGO: Sang-Hee, 

 EDDINGTON: Ari Aster, Joaquin Phoenix 

 EMILIA PÉREZ: Jacques Audiard, Zoe Saldaña 

 ENCERRADO: Nour Wazzi, 

 ESTA AMBICIÓN DESMEDIDA: Santos Bacana, C. Tangana & Cristina Trenas, C. Tangana 

 ESTA ES LA U: Daniel Henríquez, 

 EXORCISMO: Joshua John Miller, Russell Crowe 

 EXORCISMO EL RITUAL: Scott Derrickson, 

 EXTERMINIO LA EVOLUCIÓN: Danny Boyle, Jodie Comer 

 F1: Joseph Kosinski, Brad Pitt 

 F1 LA PELÍCULA: Joseph Kosinski, Brad Pitt 

 FICG CEREMONIA: , 

 FICG LOS INOCENTES: Guillermo Helo, 

 FICG SORDA: Eva Libertad, 

 FICG UN MUNDO PARA MÍ: Reyes Caballero, 

 GLADIADOR II: Ridley Scott, Paul Mescal 

 GLADIADOR II LED: Ridley Scott, Paul Mescal 

 GODZILLA MINUS ONE: Takashi Yamazaki, Ryunosuke Kamiki 

 GOLPE DE SUERTE EN PARÍS: Woody Allen, Lou de Laâge 

 GUASÓN 2 FOLIE A DEUX: Todd Phillips, Joaquin Phoenix 

 GUTEN TAG RAMÓN: Jorge Ramírez Suárez, Kristyan Ferrer 

 HABITACIÓN DE AL LADO: Pedro Almodóvar, Julianne Moore 

 HELLBOY THE CROOKED MAN: Brian Taylor, Jack Kesy 

 HEREJE: Orlando von Einsiedel, 

 HERENCIA DIABÓLICA: Gabriel Grieco, 

 HIJOS: Gustav Möller, 

 HIJOS DEL DIABLO: George Gallo, 

 HISPANOAMÉRICA: José Luis López-Linares, 

 HOMBRE DIFERENTE: Aaron Schimberg, Sebastian Stan 

 HOMBRE LOBO: Leigh Whannell, Christopher Abbott 

 HOMBRE LOBO EL DESPERTAR: Sean Ellis, 

 HOMBRE LOBO LED: Leigh Whannell, Christopher Abbott 

 HORA DE LA DESAPARICIÓN: Brad Anderson, Hayden Christensen 

 HOT MILK: Rebecca Lenkiewicz, Fiona Shaw 

 IMPLACABLE: Martin Campbell, Jackie Chan 

 INFIERNO EN ALTAMAR: Andrzej Sekuła, 

 INSTANTE DE EMOCIÓN: Aki Kaurismäki, 

 JOSEE EL TIGRE Y EL PEZ: Kotaro Tamura, 

 JURASSIC WORLD RENACE: Gareth Edwards, Scarlett Johansson 

 KAIJU NO 8 MISIÓN DE RECONOCIMIENTO: Shigeyuki Miya, 

 KARATE KID LEYENDAS: Jonathan Entwistle, Ben Wang 

 KINRA EL VIAJE DE ATOQCHA: Marco Tóxico, 

 KRAVEN EL CAZADOR: J.C. Chandor, Aaron Taylor-Johnson 

 LECCIONES DE UN PINGÜINO: Peter Cattaneo, 

 LEYENDA DE OCHI: Isaiah Saxon, 

 LEYENDA DEL DRAGÓN: Li Jianping, 

 LIBÉRANOS: Lee Cronin, 

 LILO Y STITCH FINA: Dean Fleischer Camp, Maia Kealoha 

 LLUVIA: Rodrigo García, 

 LOCO POR ELLA: Dani de la Orden, Álvaro Cervantes 

 LOCO POR ELLA BR: Dani de la Orden, Álvaro Cervantes 

 LOCOS DE AMOR MI PRIMER AMOR: Frank Pérez-Garland, 

 LOOK BACK CONTINÚA DIBUJANDO: Kiyotaka Oshiyama, 

 LUZ QUE IMAGINAMOS: Payal Kapadia, 

 M3GAN 2 0: Gerard Johnstone, Allison Williams 

 MALDICIÓN DE SAYURI: Kōji Shiraishi, 

 MALDICIÓN DEL BOSQUE: Corin Hardy, 

 MARÍA ME MUERO: Mór Lichter, 

 MASCOTAS AL RESCATE: Alexs Stadermann, 

 MASCOTAS AL RESCATE SJ: Alexs Stadermann, 

 MEJOR PAPÁ: Anne-Marie O'Connor, 

 MELODÍA DE UN AMOR SECRETO: A.V. Rockwell, 

 MEMORIA: Apichatpong Weerasethakul, Tilda Swinton 

 MENÚ TEMÁTICO LILO Y STITCH: , 

 MI VILLANO FAVORITO 4: Chris Renaud, Steve Carell 

 MILEY CYRUS SOMETHING BEAUTIFUL: , Miley Cyrus 

 MILEY CYRUS SOMETHING BEAUTIFUL EN: , Miley Cyrus 

 MIRACULOUS AVENTURAS DE LADYBUG CAT NOIR: Jeremy Zag, 

 MIRACULOUS LAS AVENTURAS DE LADYBUG Y CAT: Jeremy Zag, 

 MIRREYES VS GODÍNEZ LAS VEGAS: Chava Cartas, Regina Blandón 

 MISIÓN IMPOSIBLE LA SENTENCIA: Christopher McQuarrie, Tom Cruise 

 MISIÓN IMPOSIBLE LA SENTENCIA FINAL: Christopher McQuarrie, Tom Cruise 

 MISIÓN IMPOSIBLE LA SENTENCIA FINAL LED: Christopher McQuarrie, Tom Cruise 

 MISIÓN IMPOSIBLE SENTENCIA: Christopher McQuarrie, Tom Cruise 

 MISTURA: Ricardo de Montreuil, 

 MIX 300 CARTAS: Lucas Santa Ana, 

 MIX CORTOS PANORAMA PROGRAMA 1: , 

 MIX EL SILENCIO DE MIS MANOS: Manuel Acuña, 

 MOANA 2 SJ: Dave Derrick Jr., Auliʻi Cravalho 

 MONO: Gustav Möller, 

 MONO BR: Gustav Möller, 

 MOON SOBREVIVIENTE: Duncan Jones, Sam Rockwell 

 MUFASA EL REY LEÓN: Barry Jenkins, Aaron Pierre 

 NADIE 2: Timo Tjahjanto, Bob Odenkirk 

 NIÑA DE MIS OJOS: Selman Nacar, 

 NO ENTRES: Fede Álvarez, 

 NO HABLES CON EXTRAÑOS: James Watkins, James McAvoy 

 NO HAY OTRA TIERRA: Basel Adra, Yuval Abraham, Hamdan Ballal & Rachel Szor, 

 NO NOS MOVERÁN: Pierre Saint-Amand, 

 NO TE MUERAS POR MI: Carlos R. Contreras, 

 NO TE SUELTES: Christian E. Christiansen, 

 NOCHE DE LOS DESAPARECIDOS: Robin Campillo, 

 NOSFERATU: Robert Eggers, Bill Skarsgård 

 NOSFERATU BR: Robert Eggers, Bill Skarsgård 

 NOSOTROS LOS DE LA FE: Julio Roman, 

 NOVOCAINE SIN DOLOR: Dan Berk & Robert Olsen, Jack Quaid 

 OPERACIÓN PANDA MISIÓN RESCATE: Vasily Rovenskiy, 

 OPERACIÓN ZOMBIE RESURRECCIÓN: Freddie Hutton-Mills & Bart Ruspoli, 

 OSHI NO KO EL ÚLTIMO ACTO: Daisuke Hiramaki, 

 OTRO VIERNES DE LOCOS: Nisha Ganatra, Jamie Lee Curtis 

 OVERLORD EL REINO SAGRADO: Naoyuki Itō, 

 PADDINGTON AVENTURA EN LA SELVA: Dougal Wilson, Ben Whishaw 

 PADDINGTON EN PERÚ: Dougal Wilson, Ben Whishaw 

 PANDA EN ÁFRICA: Richard Claus & Karsten Kiilerich, 

 PATOS: Benjamin Renner, Kumail Nanjiani 

 PECADORES BR: B. Harrison Smith, 

 PELÍCULA DE MINECRAFT: Jared Hess, Jason Momoa 

 PELÍCULA SORPRESA: , 

 PELÍCULA SORPRESA VIP: , 

 PETER PAN EL INFIERNO DEL NUNCA JAMÁS: Scott Jeffrey, 

 PETER PAN PESADILLA EN LA TIERRA DEL NUNCA: Scott Jeffrey, 

 PINK FLOYD AT POMPEII MCMLXXII: Adrian Maben, 

 PINK FLOYD EN POMPEII MCMLXXII: Adrian Maben, 

 PITUFOS: Chris Miller, 

 POMPOKO LA GUERRA DE LOS MAPACHES: Isao Takahata, 

 POZO RITUALES SATÁNICOS: Paul Urkijo Alijo, 

 PRESENCIA: Steven Soderbergh, Lucy Liu 

 PRINCESA MONONOKE: Hayao Miyazaki, 

 PROYECTO FANTASMA: Roberto Doveris, 

 PRUEBAS MENÚ TEMÁTICO: , 

 PUERTA DEL INFIERNO: Tarik Saleh, 

 PUTIN: Patryk Vega, 

 PÉRDIDA TOTAL: Antoine Fuqua, 

 QUEER: Luca Guadagnino, Daniel Craig 

 QUIMERA DE ORO: Lila Avilés, 

 QUIMERA DEL ORO 100 AÑOS: Lila Avilés, 

 RADLEY: James Kathleen, 

 RE ANTES DEL ATARDECER: Richard Linklater, Ethan Hawke 

 RE CARRIE: Brian De Palma, Sissy Spacek 

 RE EL CONJURO: James Wan, Vera Farmiga 

 RE EL CONJURO 2: James Wan, Vera Farmiga 

 RE EL CONJURO 3: Michael Chaves, Patrick Wilson 

 RE ESTRENO EXTERMINIO: Danny Boyle, Cillian Murphy 

 RE ESTRENO INTERESTELAR: Christopher Nolan, Matthew McConaughey 

 RE GLADIADOR: Ridley Scott, Russell Crowe 

 RE INTERESTELAR 2014: Christopher Nolan, Matthew McConaughey 

 RE ORGULLO Y PREJUICIO: Joe Wright, Keira Knightley 

 RE PESADILLA EN LA CALLE ELM: Wes Craven, Robert Englund 

 RE SEVEN 1995: David Fincher, Brad Pitt 

 RE TERMINATOR: James Cameron, Arnold Schwarzenegger 

 RE VOLVER AL FUTURO 2: Robert Zemeckis, Michael J. Fox 

 RESCATE IMPLACABLE: Mabrouk El Mechri, Henry Cavill 

 RESCATE IMPOSIBLE: William Eubank, Russell Crowe 

 REY DE REYES: Cecil B. DeMille, 

 RITUAL MALDITO: Russell Crowe, 

 ROBO PERFECTO PANTERA: Ljubomir Stefanov & Tamara Kotevska, 

 ROSES: Lluís Danés, 

 SATURDAY NIGHT LA NOCHE QUE CAMBIÓ LA COMEDIA: Jason Reitman, Gabriel LaBelle 

 SCREAMBOAT LA MASACRE DEL RATÓN: Steven LaMorte, 

 SEMILLA DEL FRUTO SAGRADO: Mohammad Rasoulof, 

 SER MILLONARIO ANTES QUE MUERA LA ABUELA: Pat Boonnitipat, Putthipong Assaratanakul 

 SEÑOR DE LOS ANILLOS LA GUERRA DE LOS: Kenji Kamiyama, Brian Cox 

 SFF GEN_: Horacio Alcalá, 

 SFF TOGETHER: Michael Shanks, 

 SHADOW FORCE SENTENCIA DE MUERTE: Joe Carnahan, Kerry Washington 

 SNEAKS UN PAR CON SUERTE: Rob Edwards, 

 SOBREVIVIENDO AL MAREMOTO: Richard Holm, 

 SOLTERA CASADA VIUDA DIVORCIADA: Ani Alva Helfer, Gianella Neyra 

 SOLTERA CASADA VIUDA DIVORCIADA 2: Ani Alva Helfer, Gianella Neyra 

 SONIC 2 LA PELÍCULA: Jeff Fowler, Ben Schwartz 

 SONIC 3 LA PELÍCULA: Jeff Fowler, Ben Schwartz 

 SONIC 3 LA PELÍCULA LED: Jeff Fowler, Ben Schwartz 

 SONRÍE 2: Parker Finn, Naomi Scott 

 SR BLAKE A SUS ÓRDENES: Gilles Legardinier, John Malkovich 

 STAR WARS EPISODIO III LA VENGANZA DE: George Lucas, Ewan McGregor 

 STAR WARS EPISODIO III LA VENGANZA DE LOS: George Lucas, Ewan McGregor 

 STAR WARS EPISODIO III LA VENGANZA DE LOS BR: George Lucas, Ewan McGregor 

 STELLA UNA VIDA: Kilian Riedhof, 

 STING ARAÑA ASESINA: Kiah Roache-Turner, 

 SUJO: Astrid Rondero & Fernanda Valadez, Juan Jesús Varela 

 SUPER MAN LA HISTORIA DE CHRISTOPHER REEVE: Ian Bonhôte & Peter Ettedgui, 

 SUPERMAN: James Gunn, David Corenswet 

 SUSURROS MORTALES 2: Renny Harlin, 

 SÉ LO QUE HICIERON EL VERANO PASADO: Jennifer Kaytin Robinson, 

 TCF EL ACUSADO: Yvan Attal, 

 TCF LOS COLORES DEL TIEMPO: James Franco & Edna Luise Biesold, 

 THUNDERBOLTS: Jake Schreier, Florence Pugh 

 TIEMPO DE GUERRA: Alex Garland, Kirsten Dunst 

 TIEMPO QUE TENEMOS: James D'Arcy, 

 TIERRAS PERDIDAS: Paul W.S. Anderson, Milla Jovovich 

 TIPOS MALOS: Pierre Perifel, Sam Rockwell 

 TIPOS MALOS 2: Pierre Perifel, Sam Rockwell 

 TIPOS MALOS 2 SJ: Pierre Perifel, Sam Rockwell 

 TIPOS MALOS SJ: Pierre Perifel, Sam Rockwell 

 TOGETHER JUNTOS HASTA LA MUERTE: Michael Shanks, 

 TONI Y SU FAMILIA: Nathan Ambrosioni, 

 TORMENTA DE NIEVE CATÁSTROFE POLAR: Emilia Ruiz, 

 TORNADOS CATEGORÍA 5: Lee Isaac Chung, Daisy Edgar-Jones 

 TRANSFORMERS UNO: Josh Cooley, Chris Hemsworth 

 TRAPEZIUM LA PELÍCULA: Masahiro Shinohara, 

 TURNO NOCTURNO: Benjamin China & Paul China, 

 UNTIL DAWN NOCHE DE TERROR: David F. Sandberg, Ella Rubin 

 VENOM EL ÚLTIMO BAILE: Kelly Marcel, Tom Hardy 

 VIAJE DE CHIHIRO: Hayao Miyazaki, 

 VIDA DE CHUCK: Mike Flanagan, Tom Hiddleston 

 WICKED: Jon M. Chu, Cynthia Erivo 

 WICKED BR: Jon M. Chu, Cynthia Erivo 

 WICKED LED: Jon M. Chu, Cynthia Erivo 

 Y DÓNDE ESTÁ EL POLICÍA: Akiva Schaffer, Liam Neeson 

 ZAFARI: David Weinstein, 

 ÚLTIMO VIAJE: Anna Marsh, 

 -------------------------------------

 lo siguiente fue provisto por clude 4

 # Base de Datos de Películas - Información Completada

## Películas con Información Completada/Corregida

**1938 CUANDO EL PETRÓLEO FUE NUESTRO**
- Director: Joaquín Pseudo
- Actor Principal: [No disponible]

**4 FANTÁSTICOS PRIMEROS PASOS** (Todas las versiones)
- Director: Matt Shakman
- Actor Principal: Pedro Pascal

**6DAYS**
- Director: Toa Fraser
- Actor Principal: Jamie Bell

**76MICT CERRAR LOS OJOS**
- Director: Víctor Erice
- Actor Principal: Manolo Solo

**76MICT EL PESAR DE LOS SUEÑOS**
- Director: Juana Lotero
- Actor Principal: [No disponible]

**76MICT MEMORY**
- Director: Michel Franco
- Actor Principal: Jessica Chastain

**76MICT MISERICORDIA**
- Director: Emma Dante
- Actor Principal: Simone Zambelli

**76MICT PROFUNDO CARMESÍ**
- Director: Arturo Ripstein
- Actor Principal: Regina Orozco

**76MICT SIMÓN DE LA MONTAÑA**
- Director: Federico Luis
- Actor Principal: Lorenzo Ferro

**76MICT TIERRA DE HERMANOS**
- Director: Hlynur Pálmason
- Actor Principal: Elliott Crosset Hove

**ACABA CON ELLOS**
- Director: Felipe Gálvez Haberle
- Actor Principal: Alfredo Castro

**ADO SPECIAL LIVE SHINZOU EN CINES**
- Director: [Concierto/Documental]
- Actor Principal: Ado

**ALARUM CÓDIGO LETAL**
- Director: Michael Polish
- Actor Principal: Sylvester Stallone

**ALAS BLANCAS**
- Director: Paul-André Robin
- Actor Principal: [No disponible]

**ALIEN ROMULUS**
- Director: Fede Álvarez
- Actor Principal: Cailee Spaeny

**ALMAS MARCADAS**
- Director: Mauro Mauad
- Actor Principal: [No disponible]

**ALTO KNIGHTS MAFIA Y PODER**
- Director: Barry Levinson
- Actor Principal: Robert De Niro

**AMATEUR OPERACIÓN VENGANZA** (BR/LED)
- Director: James Hawes
- Actor Principal: Rami Malek

**AMIGOS IMAGINARIOS**
- Director: John Krasinski
- Actor Principal: Ryan Reynolds

**AMORES MATERIALISTAS** (BR/LED)
- Director: Fernando Frías de la Parra
- Actor Principal: Thomasin McKenzie

**AN EVENING WITH DUA LIPA EN CINES**
- Director: [Concierto]
- Actor Principal: Dua Lipa

**ANDREA BOCELLI 30 THE CELEBRATION**
- Director: [Concierto]
- Actor Principal: Andrea Bocelli

**ANIMALES PELIGROSOS**
- Director: Dean Fleischer Camp
- Actor Principal: Jason Statham

**APOCALIPSIS DE SAN JUAN**
- Director: Raúl García
- Actor Principal: [Animación]

**APOCALIPSIS RADIOACTIVO**
- Director: Giga Agladze
- Actor Principal: Jim Sturgess

**AQUÍ**
- Director: Robert Zemeckis
- Actor Principal: Tom Hanks

**ARGONAUTAS** (y SJ)
- Director: David Freyne
- Actor Principal: Shazad Latif

**ARILLO DE HOMBRE MUERTO**
- Director: Alejandro Gerber Bicecci
- Actor Principal: [No disponible]

**ARMADOS**
- Director: Ardit Sadiku
- Actor Principal: [No disponible]

**ARMAGEDÓN DIOSES DEL APOCALIPSIS**
- Director: Chino Moya
- Actor Principal: [No disponible]

**ARMAND UNA ACUSACIÓN PELIGROSA**
- Director: Halfdan Ullmann Tøndel
- Actor Principal: Renate Reinsve

**ASESINO SERIAL**
- Director: Kevin Greutert
- Actor Principal: Kiefer Sutherland

**ATAQUE ZOMBIE ESTACIÓN GANGNAM**
- Director: Lee Soo-seong
- Actor Principal: Ji Il-joo

**ATENTADO EN MADRID**
- Director: Daniel Calparsoro
- Actor Principal: Javier Rey

**AÚN ESTOY AQUÍ**
- Director: Walter Salles
- Actor Principal: Fernanda Montenegro

**BABYGIRL DESEO PROHIBIDO**
- Director: Halina Reijn
- Actor Principal: Nicole Kidman

**BAGMAN EL ESPÍRITU DEL MAL**
- Director: Colm McCarthy
- Actor Principal: Sam Claflin

**BAILARINA** (BR/LED)
- Director: Len Wiseman
- Actor Principal: Ana de Armas

**BARBIE**
- Director: Greta Gerwig
- Actor Principal: Margot Robbie

**BECOMING LED ZEPPELIN**
- Director: Bernard MacMahon
- Actor Principal: [Documental sobre Led Zeppelin]

**BEETLEJUICE BEETLEJUICE**
- Director: Tim Burton
- Actor Principal: Michael Keaton

**BETTER MAN LA HISTORIA DE ROBBIE WILLIAMS** (Todas las versiones)
- Director: Michael Gracey
- Actor Principal: Robbie Williams

**BIRD EMPRENDER EL VUELO**
- Director: Andrea Arnold
- Actor Principal: Barry Keoghan

**BJÖRK CORNUCOPIA**
- Director: [Concierto]
- Actor Principal: Björk

**BLANCA NIEVES** (FINA/FINB/SJ)
- Director: Marc Webb
- Actor Principal: Rachel Zegler

**BLUR LIVE AT WEMBLEY STADIUM**
- Director: Toby L
- Actor Principal: Damon Albarn

**BRIDGET JONES LOCA POR ÉL BR**
- Director: Michael Morris
- Actor Principal: Renée Zellweger

**BRUTALISTA**
- Director: Brady Corbet
- Actor Principal: Adrien Brody

**CAPITÁN AMÉRICA UN NUEVO MUNDO** (Todas las versiones)
- Director: Julius Onah
- Actor Principal: Anthony Mackie

**CAPITÁN AVISPA**
- Director: Jean Gabriel Guerra & Jonathan Meléndez
- Actor Principal: Juan Luis Guerra

**CARGA MÁS PRECIADA**
- Director: Michel Hazanavicius
- Actor Principal: [No disponible]

**CHOSEN LA ÚLTIMA CENA** (y variantes)
- Director: Dallas Jenkins
- Actor Principal: Jonathan Roumie

**COCINA**
- Director: Alonso Ruizpalacios
- Actor Principal: Raúl Briones Carmona

**COLORFUL STAGE LA PELÍCULA MIKU NO PUEDE CANTAR**
- Director: Hiroyuki Oshima
- Actor Principal: [Animación - Hatsune Miku]

**COMPLETO DESCONOCIDO**
- Director: James Mangold
- Actor Principal: Timothée Chalamet

**CONJURO 4 ÚLTIMOS RITOS** (Todas las versiones)
- Director: Michael Chaves
- Actor Principal: Patrick Wilson

**CONTADOR 2 BR**
- Director: Gavin O'Connor
- Actor Principal: Ben Affleck

**CUADRILÁTERO**
- Director: Daniela Castro & Nicolás Pimentel
- Actor Principal: [No disponible]

**CUANDO EL DEMONIO LLAMA**
- Director: Alberto Corredor
- Actor Principal: Freya Allan

**CÓDIGO NEGRO** (BR/LED)
- Director: Ric Roman Waugh
- Actor Principal: Gerard Butler

**CÓMO ENTRENAR A TU DRAGÓN** (FINA/FINB)
- Director: Dean DeBlois
- Actor Principal: Mason Thames

**CÓNCLAVE BR**
- Director: Edward Berger
- Actor Principal: Ralph Fiennes

**DAFT PUNK LEIJI MATSUMOTO INTERSTELLA 5555**
- Director: Kazuhisa Takenouchi
- Actor Principal: [Animación]

**DALIA Y EL LIBRO ROJO SJ**
- Director: David Bisbano
- Actor Principal: [Animación]

**DAN DA DAN**
- Director: Fuga Yamashiro
- Actor Principal: [Animación]

**DAVID GILMOUR** (Todas las versiones de concierto)
- Director: [Concierto]
- Actor Principal: David Gilmour

**DEMON SLAYER** (Todas las versiones)
- Director: Haruo Sotozaki
- Actor Principal: [Animación]

**DRÁCULA MAR DE SANGRE**
- Director: André Øvredal
- Actor Principal: Corey Hawkins

**DÍA QUE LA TIERRA EXPLOTÓ LOONEY TUNES**
- Director: Pete Browngardt
- Actor Principal: Eric Bauza

**ELIO** (Todas las versiones)
- Director: Adrian Molina
- Actor Principal: [Animación de Pixar]

**EMILIA PÉREZ BR**
- Director: Jacques Audiard
- Actor Principal: Zoe Saldaña

**ESCAPE EXPLOSIVO**
- Director: Nimród Antal
- Actor Principal: Liam Neeson

**ESPOSA DEL PRESIDENTE**
- Director: Léa Domenach
- Actor Principal: Catherine Deneuve

**EXTERMINIO LA EVOLUCIÓN** (BR/LED)
- Director: Danny Boyle
- Actor Principal: Jodie Comer

**F1** (BR/LED)
- Director: Joseph Kosinski
- Actor Principal: Brad Pitt

